10,10,5,17
1,2,4
2,3,3
3,3,1
4,4,4
5,3,22,3
6,4,13,1
7,4,22,1
8,1,18,5
9,5,8,2
10,1,14,2
11,4,16,2
12,2,18,4
13,5,21,1
14,3,14,4
15,4,20,5
16,3,15,5
17,1,7,2
18,2,18,3
19,1,12,3
20,4,22,3
21,1,6,3
22,1,8,2
23,2,15,1
24,3,10,4
25,2,17,3
26,5,12,4
27,4,16,1
28,1,10,2
29,4,6,4
30,1,17,1
31,2,16,1
32,1,21,5
33,2,8,1
34,3,20,4
35,5,11,3
36,3,16,2
37,10,11,22,11
38,16,15,7,10
39,13,20,21,14
40,16,21,14,7
41,20,17,19,14
42,14,13,21,15
43,6,18,15,16
44,12,18,12,13
45,15,19,6,12
46,7,10,16,22
47,14,21,12,6
48,20,20,10,6
49,20,22,20,8
50,22,18,12,10
51,15,10,20,17
52,14,19,10,16
53,20,18,19,14
54,7,13,19,12
55,14,18,13,22
56,12,20,20,17
57,6,14,20,14
58,17,19,12,7
59,9,6,22,12
60,6,15,11,10
61,6,16,6,17
62,16,11,22,19
63,14,11,12,16
64,8,10,12,10
65,8,9,13,19
66,22,14,10,12
67,12,17,21,20
68,19,8,7,13
69,22,17,18,21
70,21,10,8,14
71,8,21,9,14
72,21,14,13,22
73,14,18,11,18
74,22,15,11,14
75,20,20,16,11
76,7,21,10,11
77,20,12,13,19
78,17,19,18,20
79,13,14,9,9
80,11,13,16,7
81,8,12,16,7
82,10,18,6,9
83,13,14,14,12
84,7,13,9,6
85,10,17,11,7
86,10,7,11,8
87,20,17,11,12
88,18,7,19,16
89,19,21,19,11
90,11,20,9,13
91,22,17,12,11
92,8,12,22,11
93,16,13,14,15
94,8,22,12,18
95,15,17,13,13
96,6,20,21,18
97,8,18,19,16
98,11,10,10,18
99,8,14,11,19
100,8,22,20,15
