11,11,5,17
1,3,3
2,4,4
3,2,5
4,5,5
5,4,13,4
6,1,15,1
7,5,16,5
8,5,19,5
9,3,18,5
10,1,7,5
11,2,22,2
12,3,9,4
13,5,18,4
14,2,9,3
15,2,16,2
16,3,21,3
17,1,16,3
18,1,7,3
19,5,10,4
20,5,16,1
21,1,20,2
22,4,10,4
23,1,9,3
24,3,22,1
25,4,17,3
26,1,22,5
27,4,8,1
28,2,11,1
29,4,6,1
30,2,13,1
31,1,10,4
32,3,13,5
33,4,6,2
34,4,18,5
35,4,16,4
36,3,22,4
37,5,16,2
38,5,12,5
39,5,18,2
40,5,6,1
41,12,13,22,11
42,13,6,16,11
43,7,6,8,15
44,17,14,9,20
45,6,11,11,14
46,21,15,19,14
47,16,7,8,22
48,9,20,11,13
49,9,13,12,16
50,16,13,22,20
51,13,19,21,12
52,13,10,20,13
53,15,11,15,18
54,11,11,16,22
55,10,10,15,11
56,15,10,11,13
57,7,15,13,16
58,17,18,10,8
59,11,22,12,14
60,10,20,18,10
61,16,14,19,11
62,9,20,12,20
63,16,14,10,17
64,15,6,22,21
65,17,9,18,15
66,15,18,6,19
67,11,13,17,9
68,8,21,15,9
69,16,15,6,20
70,13,8,22,8
71,10,15,13,8
72,18,22,9,10
73,18,18,17,13
74,12,16,21,7
75,10,17,18,6
76,21,16,14,10
77,22,10,20,19
78,18,12,8,13
79,9,22,18,6
80,11,11,7,16
81,7,19,6,6
82,13,6,21,11
83,9,12,14,13
84,10,16,15,22
85,14,7,12,15
86,13,7,15,19
87,13,8,17,21
88,17,18,16,6
89,18,13,12,7
90,9,6,14,15
91,15,12,8,11
92,11,9,16,20
93,13,6,13,9
94,9,11,11,13
95,13,16,9,17
96,7,20,19,22
97,16,16,22,21
98,16,18,17,14
99,12,11,17,7
100,22,7,19,11
101,11,16,8,19
102,15,15,15,22
103,20,22,14,8
104,21,11,20,9
105,20,7,11,8
106,19,18,15,15
107,15,22,17,18
108,22,18,16,20
109,12,20,16,9
110,10,16,21,16
111,22,13,16,15
112,22,22,15,16
113,12,9,9,20
114,9,21,17,20
115,12,15,20,17
116,10,11,7,14
117,7,17,9,6
118,11,22,9,21
119,18,7,10,18
120,17,15,14,9
121,15,15,15,18
