8,8,5,17
1,3,4
2,4,5
3,3,3
4,5,1
5,3,16,3
6,1,21,1
7,1,19,3
8,5,17,2
9,5,10,5
10,2,8,2
11,5,19,5
12,2,15,1
13,1,17,4
14,3,18,1
15,2,7,5
16,1,21,5
17,2,11,1
18,1,7,4
19,5,11,2
20,3,12,3
21,2,22,2
22,1,10,2
23,1,6,3
24,4,11,5
25,4,12,1
26,5,14,1
27,1,15,3
28,3,16,1
29,19,7,9,8
30,19,16,12,11
31,21,8,9,9
32,7,6,13,6
33,21,17,10,11
34,15,17,20,6
35,15,8,17,7
36,22,11,12,7
37,15,9,11,22
38,6,21,12,6
39,14,11,13,20
40,11,6,11,11
41,6,10,6,6
42,20,13,8,11
43,13,21,21,14
44,13,14,21,6
45,17,7,22,15
46,15,6,9,6
47,9,22,21,11
48,15,18,7,16
49,21,6,12,6
50,13,10,21,20
51,17,7,22,17
52,16,21,6,10
53,14,11,16,18
54,17,10,18,6
55,10,22,15,20
56,13,7,11,14
57,11,18,11,16
58,14,17,6,21
59,15,21,13,14
60,10,11,8,16
61,10,15,19,7
62,15,6,6,21
63,22,21,7,16
64,18,16,19,20
