9,9,5,17
1,2,2
2,5,3
3,5,5
4,2,1
5,3,6,1
6,5,6,3
7,3,14,4
8,1,8,2
9,1,20,2
10,2,6,5
11,3,8,4
12,5,12,4
13,2,21,4
14,3,17,3
15,3,6,4
16,5,11,3
17,1,12,1
18,3,7,3
19,2,17,5
20,4,13,5
21,4,16,3
22,4,7,2
23,2,20,2
24,4,12,5
25,3,14,3
26,3,15,2
27,4,17,1
28,1,12,3
29,3,10,3
30,5,9,1
31,5,14,5
32,1,18,5
33,21,20,12,16
34,22,11,20,16
35,6,21,21,20
36,18,21,21,19
37,19,17,17,20
38,10,21,19,15
39,21,6,10,15
40,20,9,10,21
41,16,14,21,8
42,14,12,7,22
43,20,9,18,14
44,9,7,13,20
45,14,20,19,7
46,14,21,12,14
47,12,10,7,8
48,14,17,9,10
49,16,21,17,18
50,6,22,21,6
51,9,13,14,20
52,9,19,15,16
53,14,13,12,11
54,9,21,7,14
55,19,10,8,22
56,19,22,6,20
57,21,19,18,7
58,19,14,9,14
59,7,6,21,12
60,8,11,21,20
61,20,21,16,13
62,17,11,18,11
63,14,6,6,21
64,14,21,13,20
65,6,21,17,8
66,19,17,7,8
67,14,22,10,20
68,7,12,12,7
69,17,14,10,11
70,20,16,20,17
71,6,14,6,21
72,18,21,15,17
73,19,13,10,15
74,12,11,14,7
75,6,10,6,7
76,13,14,17,22
77,15,15,11,12
78,6,18,13,11
79,8,14,21,9
80,8,13,6,6
81,10,14,19,22
