10,10,3,11
1,1,1
2,3,1
3,3,3
4,1,3
5,3,4,1
6,1,10,3
7,2,6,2
8,1,14,1
9,2,13,1
10,1,11,2
11,2,10,3
12,1,13,3
13,2,12,2
14,3,14,2
15,2,6,1
16,1,11,1
17,1,11,3
18,2,5,2
19,3,9,2
20,1,13,1
21,1,10,2
22,1,5,3
23,3,5,1
24,2,14,1
25,2,5,1
26,1,7,3
27,3,7,3
28,1,12,1
29,2,6,3
30,3,13,1
31,3,7,2
32,1,9,1
33,3,12,1
34,3,11,3
35,1,4,3
36,3,13,2
37,4,13,9,9
38,6,8,4,13
39,5,9,7,7
40,4,8,7,11
41,9,12,14,13
42,9,4,6,10
43,13,13,9,6
44,5,9,9,9
45,13,13,12,7
46,10,6,8,8
47,6,13,7,12
48,6,5,10,10
49,9,12,5,13
50,14,12,6,6
51,5,8,14,9
52,13,13,13,11
53,9,9,11,14
54,6,10,6,8
55,6,6,11,6
56,13,12,12,10
57,9,14,11,11
58,12,5,4,6
59,13,9,14,12
60,11,6,14,13
61,6,5,14,7
62,9,13,4,10
63,14,6,14,9
64,5,6,12,14
65,11,6,13,4
66,4,4,7,6
67,14,11,10,4
68,14,5,9,4
69,14,9,4,12
70,11,8,6,5
71,6,11,5,6
72,7,6,4,6
73,4,10,9,6
74,8,4,6,9
75,11,4,9,8
76,13,8,14,12
77,4,9,14,5
78,14,10,4,13
79,14,4,6,7
80,13,14,8,13
81,12,12,7,12
82,9,12,7,10
83,9,13,14,8
84,13,14,8,7
85,11,4,6,12
86,4,7,10,12
87,14,11,14,8
88,14,9,12,5
89,4,6,11,13
90,7,13,6,12
91,13,10,14,7
92,11,6,11,9
93,13,6,11,11
94,6,13,11,13
95,5,13,5,8
96,6,6,10,14
97,13,6,8,9
98,6,8,9,9
99,11,8,11,5
100,14,12,6,10
