7,7,3,12
1,3,3
2,3,1
3,2,2
4,2,1
5,2,7,1
6,3,15,3
7,1,11,3
8,2,9,1
9,1,7,3
10,2,13,2
11,2,5,3
12,3,5,1
13,3,11,1
14,1,8,2
15,3,7,3
16,1,10,1
17,1,10,3
18,3,8,2
19,1,8,3
20,1,7,2
21,2,12,1
22,1,12,2
23,3,13,1
24,1,4,2
25,5,12,4,11
26,13,5,7,5
27,9,10,8,9
28,10,4,12,14
29,14,5,4,11
30,15,6,15,11
31,15,9,14,5
32,8,5,10,9
33,7,15,6,14
34,13,9,12,9
35,12,7,8,8
36,13,14,12,4
37,6,5,6,4
38,13,4,6,13
39,6,13,14,9
40,10,12,14,8
41,5,11,10,13
42,11,9,7,14
43,7,12,13,10
44,9,4,13,8
45,12,9,12,14
46,7,7,13,14
47,9,11,15,13
48,15,8,11,11
49,13,15,7,12
