7,7,3,8
1,1,2
2,3,1
3,2,1
4,2,3
5,3,10,3
6,1,9,1
7,2,4,1
8,3,6,2
9,3,8,3
10,2,11,1
11,3,5,3
12,1,9,3
13,1,5,3
14,1,8,3
15,2,8,2
16,1,5,2
17,2,9,2
18,3,7,2
19,2,8,1
20,3,4,1
21,3,4,2
22,1,10,3
23,1,6,1
24,1,10,1
25,7,5,8,5
26,6,7,4,4
27,11,10,9,11
28,10,4,5,9
29,10,10,4,4
30,11,10,9,4
31,8,5,7,10
32,4,4,11,4
33,7,11,4,8
34,4,6,7,10
35,8,7,8,9
36,6,5,5,7
37,4,5,8,9
38,10,7,5,5
39,8,10,8,7
40,7,10,4,10
41,7,11,8,5
42,7,10,10,4
43,10,4,4,9
44,5,8,10,5
45,5,10,6,9
46,5,9,4,9
47,11,7,5,5
48,10,9,7,9
49,10,5,7,10
