8,8,3,16
1,1,2
2,2,2
3,3,1
4,1,1
5,3,17,3
6,3,5,1
7,2,6,2
8,2,11,3
9,1,8,2
10,2,6,3
11,2,11,2
12,1,11,3
13,1,9,1
14,2,17,2
15,2,6,3
16,3,6,2
17,3,6,1
18,2,14,2
19,3,12,2
20,1,16,3
21,2,15,1
22,2,11,1
23,1,11,2
24,2,4,3
25,1,4,1
26,1,19,1
27,3,4,2
28,3,17,3
29,14,12,17,19
30,17,17,15,11
31,13,11,11,17
32,8,13,19,11
33,4,6,5,9
34,17,19,4,14
35,14,4,4,9
36,16,14,18,13
37,17,7,17,17
38,14,16,16,5
39,18,12,6,10
40,7,18,14,17
41,12,11,5,12
42,5,17,18,5
43,19,6,18,10
44,19,6,17,5
45,15,11,17,6
46,13,18,17,13
47,8,15,12,17
48,19,12,9,6
49,19,4,16,16
50,17,19,19,8
51,15,11,9,13
52,12,8,17,18
53,13,6,9,16
54,18,12,6,6
55,17,19,11,16
56,16,19,19,17
57,18,17,14,18
58,18,6,7,11
59,13,18,8,11
60,6,7,13,18
61,13,18,13,5
62,15,5,5,12
63,13,15,8,15
64,19,8,16,11
