8,8,3,9
1,1,1
2,3,1
3,2,3
4,2,2
5,3,10,1
6,2,4,3
7,1,10,1
8,1,9,1
9,1,8,3
10,3,5,2
11,1,10,3
12,3,4,3
13,3,6,3
14,3,9,2
15,1,8,1
16,1,5,1
17,3,10,2
18,3,9,1
19,1,4,2
20,2,8,1
21,1,12,1
22,1,12,3
23,3,4,1
24,1,9,2
25,1,7,1
26,1,9,3
27,2,9,3
28,2,4,1
29,11,6,4,4
30,4,6,11,7
31,8,7,6,4
32,10,10,4,5
33,7,6,4,5
34,8,12,4,10
35,4,12,5,12
36,12,11,11,12
37,5,9,12,11
38,6,6,5,4
39,9,9,4,12
40,8,12,12,9
41,9,5,9,8
42,7,4,6,8
43,4,4,12,9
44,5,5,5,7
45,11,4,12,6
46,9,6,10,7
47,12,12,9,12
48,6,9,9,7
49,7,12,7,10
50,10,6,5,5
51,9,4,8,6
52,12,12,7,8
53,4,11,5,7
54,11,11,12,5
55,12,12,10,8
56,4,10,5,4
57,9,5,5,4
58,4,5,11,6
59,9,10,6,10
60,8,9,6,6
61,12,8,4,6
62,5,5,10,12
63,5,10,9,10
64,9,10,8,9
